vehicle_count,queue_length,traffic_density,avg_speed,waiting_time,green_signal_ratio,monsoon_active,peak_hour,congestion_delay_sec
237,824.76,14.33,30.95,511.76,0.6812,0,0,189.51
468,216.3,22.3,30.21,349.37,0.3139,0,0,103.461
426,98.68,91.86,40.39,232.37,0.641,0,0,85.277
400,67.45,81.3,29.02,233.06,0.8401,0,0,59.701
387,554.86,215.27,29.24,52.77,0.5076,1,0,146.928
234,985.51,175.19,5.0,274.82,0.3602,1,0,273.939
256,60.71,177.74,33.53,560.95,0.9195,0,0,152.32
105,561.52,51.53,56.66,384.02,0.4676,0,0,62.894
312,246.99,201.43,36.62,363.12,0.2685,0,0,126.958
190,213.51,67.47,31.66,167.14,0.506,0,0,43.783
199,595.22,134.52,43.95,373.92,0.2632,0,0,115.774
735,1000.0,29.78,14.89,216.34,0.1911,0,1,247.992
153,813.71,348.85,17.49,353.08,0.1825,0,1,274.46
435,210.09,198.78,15.55,349.15,0.5015,0,0,153.888
243,130.24,143.45,5.0,87.45,0.3826,1,1,161.986
32,615.54,183.82,6.58,223.69,0.6984,0,0,128.294
38,713.03,189.29,30.27,76.05,0.606,1,0,108.566
232,351.38,262.21,28.66,116.75,0.833,0,0,86.374
224,199.94,275.33,53.93,238.93,0.8242,0,0,81.675
179,815.29,62.85,9.49,455.21,0.3178,1,0,221.273
365,147.22,208.21,12.81,172.71,0.2206,1,0,171.026
238,520.45,82.74,40.95,39.59,0.7189,0,0,38.888
86,1000.0,340.73,5.0,426.99,0.1482,0,1,342.373
182,222.14,18.62,30.1,155.8,0.4524,0,0,17.01
70,380.15,161.64,10.98,441.58,0.2364,0,0,171.202
51,431.26,277.23,13.16,462.07,0.5248,0,0,189.6
129,455.11,131.41,33.85,379.64,0.5217,0,0,113.154
384,740.59,260.39,34.23,409.52,0.7968,0,0,206.861
550,882.96,72.82,9.26,600.0,0.4872,0,1,305.884
413,146.2,331.85,13.1,259.99,0.4796,1,0,209.418
588,748.79,474.17,7.63,600.0,0.407,1,1,400.0
282,692.23,153.52,7.95,286.74,0.5672,1,0,226.089
164,317.96,49.04,62.45,270.6,0.3494,0,0,16.989
38,1000.0,225.78,27.14,600.0,0.531,0,1,228.363
329,278.45,286.48,7.6,517.43,0.5124,1,0,248.416
235,271.48,66.7,13.68,440.06,0.4662,0,1,179.121
146,302.66,355.28,10.13,592.02,0.2304,1,0,314.686
771,1000.0,324.45,10.7,600.0,0.2113,0,1,400.0
112,531.09,280.67,52.93,319.24,0.5983,0,0,129.891
37,407.6,94.25,12.15,291.15,0.7303,0,0,105.137
768,497.08,208.29,29.99,600.0,0.3286,0,1,282.474
157,733.02,84.21,49.88,545.02,0.8946,0,0,145.056
335,1000.0,140.75,25.9,600.0,0.6105,0,1,277.176
60,455.34,70.3,20.17,238.01,0.5595,1,0,102.893
226,902.5,65.01,11.62,315.36,0.629,1,0,202.665
511,690.96,189.59,48.73,209.52,0.6429,0,0,134.113
604,540.27,87.13,29.75,600.0,0.2991,0,1,247.982
409,518.58,68.72,21.68,600.0,0.1914,0,1,245.699
167,637.33,218.25,5.0,544.12,0.7949,1,0,270.937
193,364.98,224.82,16.43,291.17,0.5217,0,0,133.082
312,631.58,241.72,8.5,225.39,0.7869,0,0,181.315
220,823.44,250.91,9.02,524.08,0.3325,0,1,292.9
88,205.55,64.99,32.63,208.97,0.2187,0,0,52.957
340,442.77,243.29,33.25,549.44,0.2887,1,0,283.039
451,720.94,265.28,28.35,145.25,0.2951,1,0,200.608
422,85.21,88.19,40.81,477.52,0.7,0,0,128.544
417,318.04,50.19,47.62,281.31,0.2242,0,0,88.363
260,89.3,347.52,27.65,421.05,0.7712,1,0,179.891
411,648.27,35.23,30.72,580.31,0.6714,0,0,188.629
452,144.34,89.92,51.55,379.1,0.4246,0,0,114.355
50,285.24,147.85,8.25,600.0,0.4177,1,1,246.086
230,642.76,257.72,55.28,48.79,0.8881,0,0,37.561
119,126.12,159.31,10.93,96.56,0.2413,0,0,49.557
482,542.16,273.94,41.7,348.55,0.45,0,0,185.157
473,323.9,233.73,31.49,246.51,0.4916,0,0,131.928
436,613.97,226.43,29.34,369.21,0.8663,0,0,172.621
164,176.65,63.49,27.86,229.87,0.883,0,0,38.312
465,119.08,104.31,6.81,127.03,0.7892,0,0,88.949
36,316.24,326.77,32.01,458.4,0.4783,1,0,212.942
180,1000.0,413.6,14.43,600.0,0.613,0,1,373.292
340,967.26,331.25,19.41,600.0,0.5209,1,0,327.271
379,250.11,300.31,51.91,144.49,0.6721,0,0,76.559
479,201.53,185.05,34.58,208.0,0.8663,0,0,104.663
169,253.39,200.21,31.05,179.22,0.3874,1,0,142.217
211,293.38,190.96,7.53,599.14,0.7875,1,0,230.162
248,209.63,144.08,22.11,362.88,0.4697,0,0,126.956
31,923.36,68.44,11.94,563.57,0.7695,1,0,252.655
418,62.9,94.29,56.71,501.26,0.5565,0,0,104.554
171,688.01,36.23,47.92,170.81,0.3706,0,0,49.083
116,85.45,38.47,51.13,255.55,0.7542,0,0,15.0
217,634.79,96.16,34.44,263.33,0.2691,0,0,118.135
384,502.32,266.32,11.14,325.66,0.2887,1,0,240.96
434,102.09,184.34,26.06,555.27,0.3002,0,0,200.335
204,1000.0,266.42,22.25,215.8,0.6063,0,1,199.076
101,233.49,242.81,6.39,451.74,0.7775,0,0,182.276
496,940.85,170.21,27.45,151.88,0.608,1,0,205.498
267,607.46,147.25,55.79,444.17,0.3898,0,0,114.742
183,782.92,170.91,24.39,155.37,0.4632,0,0,125.852
112,653.32,31.05,40.88,328.54,0.3444,0,0,72.049
537,247.95,171.48,30.06,418.3,0.2098,0,0,171.062
367,336.67,234.91,5.11,291.07,0.7641,0,0,168.928
128,828.89,109.49,12.51,545.16,0.3342,1,0,251.97
60,288.3,245.08,35.83,421.22,0.2496,0,0,141.706
182,812.51,130.0,26.77,188.49,0.219,0,1,188.031
148,234.59,158.36,25.46,226.39,0.8248,0,0,36.873
119,1000.0,500.0,5.9,342.37,0.3255,1,1,391.975
121,327.7,217.65,8.43,201.88,0.6523,0,0,111.115
80,96.25,165.18,43.33,149.21,0.2254,0,0,23.762
189,1000.0,239.43,15.82,129.17,0.5644,1,0,167.865
258,733.0,43.7,40.22,488.2,0.6999,0,0,169.775
225,416.33,292.74,10.73,592.62,0.2487,1,0,293.726
443,140.2,174.55,45.59,112.25,0.4218,0,0,68.963
153,638.62,32.88,24.73,456.86,0.418,0,0,156.809
429,225.55,42.81,8.39,148.42,0.8532,0,0,75.488
481,498.75,291.58,30.7,331.17,0.6419,0,0,162.471
512,637.48,58.43,48.63,134.51,0.7969,0,0,76.615
111,359.58,366.32,36.13,180.8,0.4421,1,0,120.074
144,264.24,94.63,61.61,252.3,0.6273,0,0,42.32
330,133.07,162.27,20.07,459.41,0.5864,1,0,211.636
82,413.79,221.19,26.43,306.73,0.3965,1,0,165.463
60,523.87,192.62,33.68,485.4,0.4922,0,0,150.263
54,178.95,147.93,32.29,89.34,0.3741,0,0,36.47
296,785.13,114.47,10.48,374.1,0.2168,0,0,220.466
404,634.1,158.98,40.01,93.9,0.8715,0,0,88.765
222,392.3,301.53,35.66,165.4,0.6753,0,1,148.715
470,458.74,121.12,11.98,206.73,0.7639,0,0,154.109
399,331.66,167.51,22.74,94.27,0.3167,0,0,117.278
53,337.77,127.86,9.94,445.4,0.2217,0,0,172.903
203,700.53,129.97,16.69,322.2,0.3465,1,0,160.055
53,123.29,90.05,30.09,424.29,0.7722,0,0,86.911
791,553.62,137.57,9.21,111.04,0.2302,1,1,259.659
381,243.38,287.07,21.02,156.58,0.3773,1,0,175.408
374,186.77,300.54,45.48,342.6,0.6832,0,0,103.392
375,580.24,17.03,16.33,72.44,0.5078,0,0,61.156
162,825.47,61.87,47.05,129.49,0.6625,0,0,81.362
475,580.22,307.67,44.85,42.56,0.5685,0,0,112.673
469,846.7,102.47,39.52,575.37,0.5827,0,0,228.818
357,492.61,119.42,23.99,277.04,0.7745,0,0,115.399
232,266.68,197.75,59.41,56.67,0.3658,0,0,15.0
66,1000.0,176.36,14.94,488.39,0.2248,0,1,252.569
33,104.74,162.96,7.85,507.22,0.4776,0,0,136.103
83,128.81,282.99,11.54,138.71,0.5711,0,0,88.28
291,786.76,173.82,56.67,178.47,0.5428,0,0,96.944
419,700.98,266.16,7.94,545.52,0.5551,1,0,312.445
466,801.11,72.24,30.22,504.39,0.5361,0,0,222.981
106,207.02,120.14,26.15,320.58,0.5602,1,0,81.696
150,585.08,288.36,38.26,140.12,0.8622,0,0,42.156
46,310.42,373.91,26.73,150.86,0.2291,1,0,152.218
782,776.67,500.0,8.91,600.0,0.6671,1,1,400.0
400,781.8,45.8,38.55,393.23,0.6058,0,0,112.237
240,509.85,324.82,5.0,228.78,0.227,1,0,233.047
319,717.75,21.04,13.61,48.29,0.2391,1,0,156.457
295,666.49,178.64,11.08,102.34,0.5964,0,0,101.333
147,692.79,211.14,29.83,418.29,0.6605,0,0,179.029
106,83.98,171.61,8.15,409.75,0.5843,1,0,162.077
275,296.8,238.54,21.61,371.67,0.3897,0,1,208.105
217,1000.0,329.91,9.34,600.0,0.3037,0,1,380.589
303,435.15,275.39,29.73,444.61,0.6445,0,0,186.628
161,413.26,59.92,9.03,396.19,0.8201,0,0,116.387
390,149.09,66.06,18.86,155.65,0.5177,1,0,97.475
314,96.05,261.55,31.0,600.0,0.6567,1,0,219.085
262,1000.0,105.32,15.16,40.54,0.2066,1,0,137.925
441,551.15,91.43,30.75,370.43,0.4995,1,0,207.415
184,670.55,69.07,27.78,164.81,0.7101,0,0,47.734
329,321.72,88.42,12.0,457.07,0.811,1,0,221.346
19,225.15,144.05,22.63,362.5,0.5521,0,0,82.502
376,501.25,310.69,22.73,152.32,0.5797,0,0,137.617
281,666.25,255.44,46.6,333.68,0.288,0,0,146.936
129,383.45,209.34,10.28,322.15,0.4182,1,0,212.177
20,287.46,35.64,59.63,283.49,0.6912,0,0,18.526
370,433.78,209.65,40.07,57.86,0.7084,0,0,80.239
542,146.7,217.48,17.46,266.01,0.1854,0,1,185.608
328,470.95,288.13,36.79,594.5,0.8292,1,0,262.94
217,661.14,183.95,10.48,146.62,0.8785,1,0,171.93
307,55.66,206.65,47.7,294.13,0.3304,0,0,86.48
272,526.45,64.4,20.03,188.58,0.2384,0,0,107.831
138,86.54,259.22,32.47,437.44,0.4538,0,0,132.311
259,612.74,239.96,8.07,370.96,0.8498,0,0,200.999
271,674.54,115.17,52.92,427.36,0.5019,0,0,149.269
432,682.02,286.49,25.06,367.4,0.4069,0,0,202.63
210,565.69,59.49,37.61,295.21,0.8092,0,0,41.974
364,849.29,24.39,31.53,600.0,0.2256,0,1,247.103
475,400.86,291.56,5.0,449.64,0.852,1,0,272.086
732,652.57,276.32,37.71,600.0,0.5836,0,1,320.977
129,121.08,41.86,34.5,441.97,0.4706,0,0,89.282
462,839.35,67.85,31.41,272.58,0.7785,1,0,174.971
87,99.19,60.93,20.81,369.46,0.7345,1,0,86.621
439,387.79,54.86,52.95,396.87,0.5887,0,0,102.959
101,429.96,136.23,50.73,564.26,0.7764,0,0,134.188
241,576.31,24.13,25.98,595.88,0.5609,0,0,199.488
487,302.3,173.36,44.06,291.92,0.7803,0,0,101.161
106,732.87,282.56,34.0,587.35,0.5489,0,1,251.295
438,495.71,214.21,45.99,191.89,0.8479,0,0,96.111
275,750.71,269.08,61.11,535.2,0.7651,0,0,166.052
75,822.04,43.26,27.76,438.13,0.8367,1,0,187.221
490,361.67,25.31,14.28,584.84,0.3188,1,0,258.62
468,1000.0,80.04,30.98,600.0,0.2997,0,1,331.362
455,85.89,108.28,39.73,461.62,0.4965,0,0,116.8
440,371.69,225.74,5.0,87.75,0.3705,1,0,180.073
27,128.14,10.93,15.47,356.34,0.8683,0,0,60.971
147,362.97,198.27,19.18,233.82,0.3394,0,0,99.094
303,908.95,455.58,26.28,525.66,0.3825,0,1,347.392
440,787.29,126.41,29.33,353.69,0.4197,0,1,212.215
82,1000.0,19.4,28.19,310.06,0.6319,0,1,143.318
206,443.18,215.82,8.33,521.21,0.3863,0,0,231.43
672,404.53,339.55,5.44,572.27,0.6433,0,1,333.123
104,417.4,21.02,20.38,174.5,0.3957,0,0,61.361
581,1000.0,273.24,27.21,600.0,0.2239,0,1,341.937
236,458.89,82.65,49.22,70.26,0.3912,0,0,22.466
51,521.84,263.98,33.16,200.42,0.7848,1,0,125.969
109,667.89,306.84,11.02,222.08,0.3012,1,0,221.157
130,880.96,109.14,29.98,237.22,0.1644,0,1,162.606
305,276.05,82.33,37.56,546.97,0.4179,0,0,145.161
66,921.8,257.23,36.71,446.23,0.5532,1,0,230.954
406,280.24,227.29,32.03,394.68,0.4331,1,0,188.074
396,79.59,263.16,36.06,393.3,0.3253,0,0,163.695
55,838.46,196.13,29.19,259.35,0.4421,1,0,213.811
686,1000.0,336.94,14.22,600.0,0.4974,0,1,399.873
468,501.95,211.35,45.14,456.73,0.5082,0,0,189.77
39,537.94,250.63,32.69,310.54,0.5849,1,0,139.495
457,834.69,68.16,49.1,316.16,0.8773,0,0,127.823
165,489.75,119.8,12.14,150.76,0.7526,1,0,135.729
342,342.88,162.24,50.37,77.99,0.7942,0,0,40.209
154,1000.0,52.4,5.43,93.59,0.3112,1,1,188.181
441,537.54,29.85,30.21,458.41,0.5819,1,0,195.366
445,644.89,32.12,37.78,239.55,0.4598,1,0,148.204
458,1000.0,370.21,5.0,443.41,0.5232,1,0,388.56
761,611.23,396.15,16.44,526.62,0.211,1,1,395.221
54,235.92,331.72,25.54,300.3,0.5559,1,0,173.109
346,370.64,294.27,45.89,375.64,0.5619,0,0,162.281
154,437.26,197.27,10.1,141.69,0.5913,0,0,83.544
84,616.51,171.97,59.06,567.02,0.3685,0,0,182.742
92,797.0,159.52,61.01,214.96,0.3498,0,0,88.009
455,606.3,221.86,42.74,459.5,0.4481,0,0,188.468
334,833.33,265.61,30.84,176.63,0.5704,0,0,148.43
45,218.13,245.76,39.63,303.96,0.4484,0,0,81.138
482,299.36,209.62,5.05,301.21,0.7083,1,0,200.644
401,368.91,284.65,27.81,198.56,0.5937,1,0,145.066
161,944.35,182.64,5.55,237.39,0.2896,1,0,229.072
257,248.83,163.64,14.73,259.2,0.3413,1,0,173.968
600,342.8,138.59,6.99,600.0,0.4592,0,1,269.278
527,626.69,41.74,28.52,568.45,0.4114,0,1,250.578
239,431.36,93.6,24.68,74.28,0.4406,1,0,92.152
275,576.63,233.39,46.09,160.08,0.333,0,0,91.365
42,722.07,56.62,8.84,545.02,0.809,0,0,173.184
258,216.35,335.8,16.83,78.73,0.5197,1,0,147.427
188,463.03,34.42,28.26,384.27,0.3584,0,0,104.652
160,166.47,31.88,25.74,157.31,0.7103,1,0,59.329
140,201.21,155.37,10.46,260.4,0.3931,0,0,111.437
537,687.07,148.33,16.38,384.01,0.2896,1,1,282.182
210,492.99,42.22,28.28,600.0,0.7699,0,0,176.97
235,446.37,28.66,57.03,318.37,0.8037,0,0,75.402
101,541.61,167.34,30.57,166.31,0.5312,0,0,68.915
447,706.76,87.09,11.18,403.93,0.6229,0,0,217.26
198,357.48,269.01,6.11,127.03,0.3454,0,1,151.943
225,610.81,52.97,18.45,571.95,0.6589,0,0,164.702
114,530.8,17.14,18.41,223.72,0.7019,0,0,97.469
351,151.52,24.92,30.23,554.07,0.707,1,0,180.571
221,288.08,44.68,46.12,484.53,0.2341,0,0,120.021
211,66.76,255.55,9.59,127.15,0.2703,0,0,81.706
413,127.02,143.97,47.9,578.84,0.6794,0,0,138.757
664,504.66,280.66,6.33,600.0,0.4427,0,1,354.455
277,236.71,281.69,44.59,495.12,0.8914,0,0,179.695
247,740.11,68.81,10.33,288.21,0.2742,0,0,151.506
518,973.08,331.54,15.77,445.26,0.8549,1,0,341.694
469,665.01,281.24,28.79,69.94,0.2933,1,0,212.696
380,572.9,229.01,20.05,545.54,0.2325,0,0,242.639
409,857.32,266.16,11.34,147.69,0.854,0,0,183.053
679,946.71,91.76,17.49,600.0,0.426,1,1,365.853
521,427.24,172.12,46.18,475.47,0.4035,0,0,172.739
99,947.74,237.17,32.24,600.0,0.4399,0,1,262.275
486,682.5,194.81,40.61,470.98,0.4506,0,0,171.302
352,623.7,82.34,9.37,517.49,0.8864,0,0,196.612
284,94.62,47.08,42.3,425.53,0.7073,0,0,73.463
228,552.31,310.59,50.96,382.2,0.6851,0,0,145.818
176,254.83,134.37,9.79,58.15,0.4133,0,0,96.299
633,401.0,111.0,6.98,600.0,0.1644,0,1,313.147
335,464.9,44.89,39.25,292.71,0.7714,0,0,93.245
186,1000.0,253.8,27.99,600.0,0.1721,0,1,296.947
298,166.72,54.28,24.61,254.33,0.2894,0,0,94.211
81,269.9,66.01,48.32,267.13,0.5842,0,0,35.157
267,614.63,287.31,13.46,275.55,0.7482,0,0,163.021
297,159.39,19.44,31.49,550.76,0.484,0,0,144.32
336,707.56,65.6,44.4,157.97,0.5949,0,0,64.05
88,380.48,209.41,16.76,298.3,0.8657,0,0,106.325
65,521.48,69.78,23.36,126.09,0.3826,0,0,52.937
246,189.88,101.16,23.4,538.4,0.1647,0,1,196.596
300,1000.0,222.59,16.13,368.29,0.3609,1,0,295.537
734,1000.0,341.28,33.79,189.99,0.366,0,1,285.947
385,203.96,132.79,55.28,399.76,0.7795,0,0,79.777
359,825.93,305.12,27.35,500.95,0.4808,1,0,277.123
170,652.86,254.6,51.82,469.16,0.6405,0,0,161.246
79,205.35,259.93,35.09,415.74,0.6213,1,0,179.019
671,879.38,255.02,24.48,190.44,0.4024,0,1,242.433
269,1000.0,346.11,31.25,375.49,0.3149,1,0,252.612
64,438.08,13.3,9.02,424.76,0.2454,0,0,137.484
419,1000.0,286.08,18.34,600.0,0.252,1,1,387.817
357,82.62,44.41,20.44,407.18,0.4077,0,0,153.407
177,685.58,75.01,8.68,357.67,0.3437,0,0,151.474
24,732.66,291.45,36.24,474.69,0.3275,0,0,169.987
305,171.03,11.78,18.62,503.63,0.6128,0,0,131.175
39,393.24,98.23,8.81,329.93,0.5285,0,0,98.998
241,494.31,57.25,38.2,110.49,0.3637,0,0,56.207
689,1000.0,348.27,5.0,600.0,0.2767,1,1,400.0
850,306.6,377.0,32.9,600.0,0.2186,0,1,353.187
306,776.57,243.38,23.25,600.0,0.5065,1,1,371.185
29,620.48,241.25,47.83,190.49,0.518,0,0,69.986
263,478.25,186.51,13.19,117.71,0.6597,1,0,123.522
162,526.24,275.46,35.66,466.17,0.4641,0,0,167.896
730,784.89,403.28,5.0,100.55,0.1977,0,1,313.761
335,804.08,60.54,37.65,248.58,0.7724,0,0,120.869
212,145.44,253.48,19.09,312.39,0.237,0,0,141.382
408,712.99,65.68,29.25,42.06,0.4383,0,0,90.66
308,816.57,228.01,8.79,600.0,0.4509,0,1,322.067
290,709.64,64.9,62.64,96.51,0.6903,0,0,27.615
770,268.63,186.17,9.61,271.67,0.3849,0,1,247.116
176,949.36,429.51,16.61,600.0,0.5858,0,1,361.796
162,941.3,305.93,12.22,343.99,0.509,1,0,295.419
434,935.06,223.04,21.83,565.33,0.7758,1,0,324.444
227,77.47,337.69,35.51,317.79,0.3859,1,0,163.776
178,395.19,117.37,14.81,494.85,0.5152,0,0,154.445
37,140.87,59.36,12.29,49.28,0.2138,0,0,33.3
337,313.2,393.76,5.43,347.49,0.444,0,1,258.221
249,544.69,14.02,37.31,199.93,0.4759,0,0,71.698
230,786.45,254.65,39.29,71.01,0.6853,0,0,91.847
256,871.07,23.58,30.11,600.0,0.5378,0,1,206.422
192,126.72,96.12,48.75,307.1,0.5206,0,0,66.989
343,318.92,150.75,6.75,361.98,0.6505,1,0,193.027
765,631.77,163.88,31.32,587.19,0.5533,0,1,308.222
346,149.25,82.55,47.28,180.95,0.811,0,0,39.472
324,989.79,50.45,24.97,589.0,0.2816,1,0,272.398
391,259.73,14.29,14.65,434.72,0.576,1,0,198.352
104,142.69,239.93,43.0,105.94,0.8755,0,0,46.435
153,574.07,152.09,36.89,292.03,0.3873,0,0,107.909
43,138.02,54.97,23.93,30.1,0.6656,0,0,15.0
175,353.23,33.08,5.4,444.98,0.4119,0,0,149.323
479,431.41,95.44,37.51,342.22,0.7792,0,0,135.997
173,107.53,114.75,35.27,503.0,0.7404,0,0,102.074
677,879.85,213.84,8.54,600.0,0.6764,0,1,356.997
58,422.63,40.7,51.47,88.49,0.7114,0,0,15.0
392,1000.0,408.08,8.54,143.54,0.4112,0,1,281.554
203,224.93,86.34,19.37,508.59,0.6057,0,0,135.263
110,303.28,136.1,27.37,325.15,0.7387,0,0,97.607
206,583.63,201.3,44.0,300.79,0.7422,0,0,99.559
316,109.96,139.61,6.53,350.06,0.2888,1,0,189.488
261,143.38,36.52,40.78,298.21,0.4267,0,0,47.67
402,280.67,121.08,28.28,352.85,0.6605,0,0,130.541
483,190.84,215.56,9.02,562.99,0.2669,1,0,266.801
232,80.39,260.19,10.93,355.73,0.6544,0,0,137.798
469,787.99,124.67,29.81,216.74,0.8209,0,0,159.658
89,994.96,500.0,11.27,259.89,0.3447,1,1,325.493
157,477.24,163.59,12.7,534.54,0.3415,0,0,186.833
219,224.44,225.45,31.62,386.82,0.7878,0,0,125.492
287,54.76,17.71,31.65,347.44,0.5553,0,0,69.78
288,591.89,277.23,54.79,46.82,0.7914,0,0,100.693
316,587.74,68.87,46.85,553.13,0.2589,0,0,149.806
460,792.14,109.7,5.82,302.97,0.3352,0,0,210.405
233,123.65,250.46,20.17,600.0,0.1503,0,1,279.843
440,140.75,265.8,6.3,134.68,0.5336,0,0,132.044
298,808.8,144.73,20.17,223.58,0.8499,1,0,182.713
260,287.57,73.38,23.37,155.77,0.6801,0,0,35.824
155,101.53,308.87,52.63,240.22,0.2205,0,0,68.127
257,478.38,369.52,20.62,600.0,0.1596,0,1,300.919
206,110.86,189.83,49.36,260.34,0.6973,0,0,21.769
392,899.79,175.3,23.91,491.86,0.2701,1,0,297.555
243,708.06,139.91,28.72,467.63,0.3443,0,0,171.271
96,489.85,288.18,16.47,200.43,0.7072,0,0,138.5
364,349.93,31.8,15.66,352.09,0.3802,0,0,107.779
356,931.16,289.55,32.37,537.49,0.5469,1,0,305.928
451,498.21,178.2,52.98,407.57,0.4993,0,0,165.47
471,1000.0,500.0,8.33,309.74,0.3374,1,1,396.395
346,643.35,220.57,22.06,509.66,0.3606,1,0,281.77
261,1000.0,128.15,12.51,361.08,0.4626,1,0,242.74
337,279.59,252.63,31.41,559.26,0.3391,0,0,186.136
222,669.07,386.84,34.91,410.07,0.8531,1,0,216.056
145,1000.0,428.39,7.18,469.03,0.3075,0,1,359.621
520,776.11,100.05,21.24,264.61,0.7143,0,0,167.667
371,1000.0,140.27,28.98,534.44,0.4117,1,0,291.531
306,456.32,295.73,14.1,552.99,0.3858,1,0,283.629
253,793.14,253.9,6.45,265.62,0.5497,1,0,259.204
373,252.71,13.39,27.46,130.08,0.7112,0,0,49.162
85,534.52,49.51,43.84,54.67,0.2105,0,0,17.637
175,268.46,42.54,35.37,218.38,0.3255,1,0,73.682
84,359.94,61.1,52.7,209.55,0.742,0,0,15.0
82,995.26,126.92,24.88,254.75,0.4601,1,0,178.829
32,654.01,290.19,46.52,118.47,0.76,0,0,72.257
642,795.65,321.83,20.77,552.63,0.2303,0,1,371.207
204,302.89,41.79,18.2,600.0,0.5659,0,1,211.961
437,321.36,182.84,15.08,162.0,0.61,0,0,130.157
462,142.8,143.41,20.2,451.45,0.3128,0,0,188.269
104,151.43,303.45,19.28,54.15,0.2133,1,0,102.625
345,977.33,365.62,38.5,393.5,0.7869,1,0,277.702
251,577.22,37.14,26.86,557.41,0.3954,1,0,229.961
433,109.78,292.52,58.31,190.33,0.3606,0,0,92.858
240,571.95,25.94,20.64,458.16,0.3127,0,0,164.16
315,198.09,344.27,5.03,133.9,0.3246,0,1,187.811
168,322.3,262.33,62.21,231.64,0.5666,0,0,63.899
448,309.23,292.1,14.33,31.71,0.5126,1,0,129.954
131,176.69,53.86,33.21,214.32,0.8271,0,0,50.557
445,608.7,96.11,6.24,210.36,0.3251,1,0,218.735
117,868.11,29.2,33.98,431.3,0.6946,1,0,179.025
554,688.33,72.44,5.0,350.9,0.616,0,1,253.307
223,657.84,25.82,56.17,468.99,0.2284,0,0,119.992
